Key,comment,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
MenuView,Menu: View,表示(_V),View(_V),视图(_V),檢視(_V),보기(_V),Ver(_V),عرض(_V),Tampilan(_V),
MenuCanvas,Menu: Canvas,キャンバス,Canvas,画布,畫布,캔버스,Lienzo,لوحة الرسم,Kanvas,
MenuLayer,Menu: Layer,レイヤー,Layer,图层,圖層,레이어,Capa,طبقة,Layer,
MenuCanvasControl,Menu: Canvas control,キャンバス操作,Canvas Controls,画布操作,畫布操作,캔버스 조작,Controles de lienzo,عناصر تحكم اللوحة,Kontrol Kanvas,
MenuHistory,Menu: History,履歴管理,History,历史记录,歷史記錄,기록,Historial,السجل,Riwayat,
MenuSettings,Menu: Settings,設定(_S),Settings(_S),设置(_S),設定(_S),설정(_S),Configuración(_S),الإعدادات(_S),Pengaturan(_S),
MenuMouseWheelAction,Menu: mouse wheel action,マウスホイールの動作,Mouse Wheel Action,鼠标滚轮操作,滑鼠滾輪動作,마우스 휠 동작,Acción de la rueda del ratón,إجراء عجلة الفأرة,Aksi Roda Mouse,
MenuMouseWheelZoom,Menu: mouse wheel zoom,キャンバスの拡大・縮小,Canvas Zoom,画布缩放,畫布縮放,캔버스 확대/축소,Zoom del lienzo,تكبير/تصغير اللوحة,Zoom Kanvas,
MenuMouseWheelPenSize,Menu: mouse wheel pen size,ペンサイズの変更,Change Pen Size,更改笔大小,變更筆大小,펜 크기 변경,Cambiar tamaño del lápiz,تغيير حجم القلم,Ubah Ukuran Pena,
MenuToolbarLayout,Menu: toolbar layout,ツールバーのレイアウト,Toolbar Layout,工具栏布局,工具列版面配置,도구 모음 레이아웃,Diseño de la barra de herramientas,تخطيط شريط الأدوات,Tata Letak Toolbar,
DirectionTop,Direction top,上,Top,上,上,위,Arriba,أعلى,Atas,
DirectionBottom,Direction bottom,下,Bottom,下,下,아래,Abajo,أسفل,Bawah,
DirectionLeft,Direction left,左,Left,左,左,왼쪽,Izquierda,يسار,Kiri,
DirectionRight,Direction right,右,Right,右,右,오른쪽,Derecha,يمين,Kanan,
Close,Close,閉じる,Close,关闭,關閉,닫기,Cerrar,إغلاق,Tutup,
TooltipPen,Tooltip pen tool,ペン (右クリックで設定),Pen (right-click to configure),钢笔（右键配置）,筆（右鍵設定）,펜(우클릭으로 설정),Pluma (clic derecho para configurar),قلم (انقر بزر الماوس الأيمن للإعداد),Pena (klik kanan untuk pengaturan),
TooltipHighlighter,Tooltip highlighter tool,マーカー (右クリックで設定),Highlighter (right-click to configure),荧光笔（右键配置）,螢光筆（右鍵設定）,형광펜(우클릭으로 설정),Resaltador (clic derecho para configurar),مُحدد نص (انقر بزر الماوس الأيمن للإعداد),Stabilo (klik kanan untuk pengaturan),
TooltipPencil,Tooltip pencil tool,鉛筆 (右クリックで設定),Pencil (right-click to configure),铅笔（右键配置）,鉛筆（右鍵設定）,연필(우클릭으로 설정),Lápiz (clic derecho para configurar),قلم رصاص (انقر بزر الماوس الأيمن للإعداد),Pensil (klik kanan untuk pengaturan),
TooltipEraser,Tooltip eraser tool,消しゴム (右クリックでモード切替),Eraser (right-click to switch mode),橡皮擦（右键切换模式）,橡皮擦（右鍵切換模式）,지우개(우클릭으로 모드 전환),Borrador (clic derecho para cambiar modo),ممحاة (انقر بزر الماوس الأيمن لتبديل الوضع),Penghapus (klik kanan untuk ganti mode),
BrushPressure,Brush pressure menu label,筆圧,Pressure,压感,筆壓,필압,Presión,الضغط,Tekanan,
EraserPointMode,Point eraser mode,ポイント消し,Point Erase,点擦除,點擦除,포인트 지우기,Borrado por punto,مسح بالنقطة,Hapus Titik,
EraserStrokeMode,Stroke eraser mode,ストローク消し,Stroke Erase,笔划擦除,筆劃擦除,획 지우기,Borrado por trazo,مسح المسار,Hapus Goresan,
TooltipSelect,Tooltip select tool,選択,Select,选择,選取,선택,Seleccionar,تحديد,Pilih,
TooltipUndo,Tooltip undo,元に戻す (Ctrl+Z),Undo (Ctrl+Z),撤销 (Ctrl+Z),復原 (Ctrl+Z),실행 취소 (Ctrl+Z),Deshacer (Ctrl+Z),تراجع (Ctrl+Z),Urungkan (Ctrl+Z),
TooltipRedo,Tooltip redo,やり直し (Ctrl+Y),Redo (Ctrl+Y),重做 (Ctrl+Y),重做 (Ctrl+Y),다시 실행 (Ctrl+Y),Rehacer (Ctrl+Y),إعادة (Ctrl+Y),Ulangi (Ctrl+Y),
TooltipImport,Tooltip import,インポート,Import,导入,匯入,가져오기,Importar,استيراد,Impor,
TooltipExport,Tooltip export,エクスポート,Export,导出,匯出,내보내기,Exportar,تصدير,Ekspor,
ExportAsImage,Export as image menu,画像として保存,Save as Image,保存为图像,儲存為影像,이미지로 저장,Guardar como imagen,حفظ كصورة,Simpan sebagai Gambar,
ExportAsIsf,Export as ISF menu,ISF形式でエクスポート,Export as ISF,导出为 ISF,匯出為 ISF,ISF로 내보내기,Exportar como ISF,تصدير بصيغة ISF,Ekspor sebagai ISF,
PanelCanvas,Panel title: canvas,キャンバス,Canvas,画布,畫布,캔버스,Lienzo,لوحة الرسم,Kanvas,
PanelLayers,Panel title: layers,レイヤー,Layers,图层,圖層,레이어,Capas,الطبقات,Layer,
PanelCanvasControl,Panel title: canvas controls,キャンバス操作,Canvas Controls,画布操作,畫布操作,캔버스 조작,Controles de lienzo,عناصر تحكم اللوحة,Kontrol Kanvas,
PanelHistory,Panel title: history,履歴管理,History,历史记录,歷史記錄,기록,Historial,السجل,Riwayat,
LayerLocked,Layer locked label,ロック,Locked,锁定,鎖定,잠김,Bloqueada,مقفل,Terkunci,
TooltipAddLayer,Tooltip add layer,レイヤーを追加,Add Layer,添加图层,新增圖層,레이어 추가,Agregar capa,إضافة طبقة,Tambah Layer,
TooltipRemoveLayer,Tooltip remove selected layer,選択中のレイヤーを削除,Remove Selected Layer,删除选中图层,刪除選取圖層,선택한 레이어 삭제,Eliminar capa seleccionada,إزالة الطبقة المحددة,Hapus Layer Terpilih,
TooltipMoveLayerUp,Tooltip move layer up,レイヤーを上に移動,Move Layer Up,上移图层,上移圖層,레이어 위로 이동,Mover capa arriba,نقل الطبقة للأعلى,Pindahkan Layer ke Atas,
TooltipMoveLayerDown,Tooltip move layer down,レイヤーを下に移動,Move Layer Down,下移图层,下移圖層,레이어 아래로 이동,Mover capa abajo,نقل الطبقة للأسفل,Pindahkan Layer ke Bawah,
TooltipFitToView,Tooltip fit to view,全体表示,Fit to View,适合视图,符合檢視,화면에 맞춤,Ajustar a la vista,احتواء في العرض,Sesuaikan ke Tampilan,
TooltipResetRotation,Tooltip reset rotation,回転をリセット,Reset Rotation,重置旋转,重設旋轉,회전 초기화,Restablecer rotación,إعادة ضبط الدوران,Reset Rotasi,
TooltipZoomOut,Tooltip zoom out,縮小,Zoom Out,缩小,縮小,축소,Alejar,تصغير,Perkecil,
TooltipZoomIn,Tooltip zoom in,拡大,Zoom In,放大,放大,확대,Acercar,تكبير,Perbesar,
PanelContextClose,Panel context menu close,閉じる,Close,关闭,關閉,닫기,Cerrar,إغلاق,Tutup,
PanelContextAlwaysOnTop,Panel context menu always on top,常に最前面,Always on Top,始终置顶,永遠在最上層,항상 위에,Siempre visible,دائمًا في المقدمة,Selalu di Atas,
PanelContextTranslucent,Panel context menu translucent,半透明,Translucent,半透明,半透明,반투명,Translúcido,شبه شفاف,Transparan,
UpdateAvailableMessageLine1,Update notification line 1,新しいバージョンのPenToolプラグインが利用可能です。,A new version of the PenTool plugin is available.,有新版本的 PenTool 插件可用。,有新的 PenTool 外掛版本可用。,새로운 PenTool 플러그인 버전을 사용할 수 있습니다.,Hay una nueva versión disponible del plugin PenTool.,يتوفر إصدار جديد من إضافة PenTool.,Versi baru plugin PenTool tersedia.,
CurrentVersionLabel,Current version label,現在のバージョン,Current version,当前版本,目前版本,현재 버전,Versión actual,الإصدار الحالي,Versi saat ini,
LatestVersionLabel,Latest version label,最新バージョン,Latest version,最新版本,最新版本,최신 버전,Última versión,أحدث إصدار,Versi terbaru,
OpenDownloadPageQuestion,Open download page question,ダウンロードページを開きますか？,Open the download page?,打开下载页面吗？,要開啟下載頁面嗎？,다운로드 페이지를 여시겠습니까?,¿Abrir la página de descarga?,هل تريد فتح صفحة التنزيل؟,Buka halaman unduhan?,
IgnoreVersionNotice,Ignore version notice,（「いいえ」を選択すると、このバージョン(v{0})の通知は表示されなくなります）,If you select \"No\", notifications for this version (v{0}) will no longer be shown.,（选择“否”后，将不再显示此版本(v{0})的通知）,（若選擇「否」，將不再顯示此版本(v{0})通知）,\"아니요\"를 선택하면 이 버전(v{0}) 알림이 더 이상 표시되지 않습니다.,Si selecciona \"No\", no se volverán a mostrar notificaciones para esta versión (v{0}).,إذا اخترت \"لا\" فلن تظهر إشعارات هذا الإصدار (v{0}) بعد الآن.,Jika memilih \"Tidak\", notifikasi untuk versi ini (v{0}) tidak akan ditampilkan lagi.,
UpdateDialogTitle,Update dialog title,ExtendedPenTool - 更新通知,ExtendedPenTool - Update Notification,ExtendedPenTool - 更新通知,ExtendedPenTool - 更新通知,ExtendedPenTool - 업데이트 알림,ExtendedPenTool - Notificación de actualización,ExtendedPenTool - إشعار التحديث,ExtendedPenTool - Notifikasi Pembaruan,
HistoryDraw,History kind draw,描画,Draw,绘制,繪製,그리기,Dibujar,رسم,Gambar,
HistoryErase,History kind erase,消去,Erase,擦除,擦除,지우기,Borrar,مسح,Hapus,
HistorySelect,History kind select,選択,Select,选择,選取,선택,Seleccionar,تحديد,Pilih,
HistoryAddLayer,History kind add layer,レイヤーを追加,Add Layer,添加图层,新增圖層,레이어 추가,Agregar capa,إضافة طبقة,Tambah Layer,
HistoryRemoveLayer,History kind remove layer,レイヤーを削除,Remove Layer,删除图层,刪除圖層,레이어 삭제,Eliminar capa,إزالة طبقة,Hapus Layer,
HistoryMoveLayer,History kind move layer,レイヤーを移動,Move Layer,移动图层,移動圖層,레이어 이동,Mover capa,نقل الطبقة,Pindahkan Layer,
HistoryMoveStrokes,History kind move strokes,移動,Move,移动,移動,이동,Mover,نقل,Pindah,
HistoryResizeStrokes,History kind resize strokes,サイズ変更,Resize,调整大小,調整大小,크기 변경,Redimensionar,تغيير الحجم,Ubah Ukuran,
HistoryRotateStrokes,History kind rotate strokes,回転,Rotate,旋转,旋轉,회전,Rotar,تدوير,Putar,
HistoryLayerProperty,History kind layer property,レイヤーのプロパティを変更,Change Layer Properties,更改图层属性,變更圖層屬性,레이어 속성 변경,Cambiar propiedades de capa,تغيير خصائص الطبقة,Ubah Properti Layer,
